Country Name,Average yearly temperature (Celsius)
Aruba,25.35
Andorra,7.6
Afghanistan,12.6
Angola,21.55
Albania,11.4
United Arab Emirates,27
Argentina,14.8
Armenia,7.15
American Samoa,24.4
Antigua and Barbuda,26
Australia,21.65
Austria,6.35
Azerbaijan,11.95
Burundi,19.8
Belgium,9.55
Benin,27.55
Burkina Faso,28.25
Bangladesh,25
Bulgaria,10.55
Bahrain,27.15
"Bahamas, The",24.85
Bosnia and Herzegovina,9.85
Belarus,6.15
Belize,25.3
Bermuda,21.3
Bolivia,21.55
Brazil,24.95
Barbados,26
Brunei Darussalam,26.85
Bhutan,7.4
Botswana,21.5
Central African Republic,24.9
Canada,-5.35
Switzerland,5.5
Chile,8.45
China,6.95
Cote d'Ivoire,26.35
Cameroon,24.6
"Congo, Rep.",24.55
Colombia,24.5
Comoros,25.55
Cape Verde,23.3
Costa Rica,24.8
Cuba,25.2
Curacao,25.35
Cayman Islands,25.2
Cyprus,18.45
Czech Republic,7.55
Germany,8.5
Djibouti,28
Dominica,22.35
Denmark,7.5
Dominican Republic,24.55
Algeria,22.5
Ecuador,21.85
"Egypt, Arab Rep.",22.1
Eritrea,25.5
Spain,13.3
Estonia,5.1
Ethiopia,22.2
Finland,1.7
Fiji,24.4
France,10.7
Faeroe Islands,6.1
"Micronesia, Fed. Sts.",25.85
Gabon,25.05
United Kingdom,8.45
Georgia,5.8
Ghana,27.2
Guinea,25.7
"Gambia, The",27.5
Guinea-Bissau,26.75
Equatorial Guinea,24.55
Greece,15.4
Grenada,26.65
Greenland,-16.05
Guatemala,23.45
Guam,25.85
Guyana,26
"Hong Kong SAR, China",22.65
Honduras,23.5
Croatia,10.9
Haiti,24.9
Hungary,9.75
Indonesia,25.85
Isle of Man,8.45
India,23.65
Ireland,9.3
"Iran, Islamic Rep.",17.25
Iraq,21.4
Iceland,1.75
Israel,19.2
Italy,13.45
Jamaica,24.95
Jordan,18.3
Japan,11.15
Kazakhstan,6.4
Kenya,24.75
Kyrgyz Republic,1.55
Cambodia,26.8
Kiribati,28.2
St. Kitts and Nevis,24.5
"Korea, Rep.",11.5
Kuwait,25.35
Lao PDR,22.8
Lebanon,16.4
Liberia,25.3
Libya,21.8
St. Lucia,25.5
Liechtenstein,5.65
Sri Lanka,26.95
Lesotho,11.85
Lithuania,6.2
Luxembourg,8.65
Latvia,5.6
"Macao SAR, China",22.8
St. Martin (French part),25.25
Morocco,17.1
Monaco,13.55
Moldova,9.45
Madagascar,22.65
Maldives,27.65
Mexico,21
Marshall Islands,27.4
"Macedonia, FYR",9.8
Mali,28.25
Malta,19.2
Myanmar,13.05
Montenegro,10.55
Mongolia,-0.7
Northern Mariana Islands,27.35
Mozambique,23.8
Mauritania,27.65
Mauritius,22.4
Malawi,21.9
Malaysia,25.4
Namibia,19.95
New Caledonia,22.15
Niger,27.15
Nigeria,26.8
Nicaragua,24.9
Netherlands,9.25
Norway,1.5
Nepal,8.1
New Zealand,10.55
Oman,25.6
Pakistan,20.2
Panama,25.4
Peru,19.6
Philippines,25.85
Palau,27.6
Papua New Guinea,25.25
Poland,7.85
Puerto Rico,25.25
"Korea, Dem. Rep.",5.7
Portugal,15.15
Paraguay,23.55
French Polynesia,24.4
Qatar,27.15
Romania,8.8
Russian Federation,-5.1
Rwanda,17.85
Saudi Arabia,24.65
Sudan,26.9
Senegal,27.85
Singapore,26.45
Solomon Islands,25.65
Sierra Leone,26.05
El Salvador,24.45
San Marino,11.85
Somalia,27.05
Serbia,10.55
Sao Tome and Principe,23.75
Suriname,25.7
Slovak Republic,6.8
Slovenia,8.9
Sweden,2.1
Swaziland,21.4
Sint Maarten (Dutch part),25.25
Seychelles,27.15
Syrian Arab Republic,17.75
Turks and Caicos Islands,28
Chad,26.55
Togo,27.15
Thailand,26.3
Tajikistan,2
Turkmenistan,15.1
Timor-Leste,25.25
Tonga,25.25
Trinidad and Tobago,25.75
Tunisia,19.2
Turkey,11.1
Tuvalu,28
Tanzania,22.35
Uganda,22.8
Ukraine,8.3
Uruguay,17.55
United States,8.55
Uzbekistan,12.05
St. Vincent and the Grenadines,26.8
"Venezuela, RB",25.35
Virgin Islands (U.S.),25.6
Vietnam,24.45
Vanuatu,23.95
West Bank and Gaza,19.2
Samoa,26.7
"Yemen, Rep.",23.85
South Africa,17.75
"Congo, Dem. Rep.",24
Zambia,21.4
Zimbabwe,21
