country,averageTemperature
Alabama,64.9
Alaska,27.5
Arizona,62.7
Arkansas,61.2
California,60.6
Colorado,47.3
Connecticut,51.8
Delaware,58
Florida,73.2
Georgia,65.6
Idaho,44.4
Illinois,53.3
Indiana,53.3
lowa,49.2
Kansas,55.6
Kentucky,57.1
Louisiana,68.1
Maine,43.5
Maryland,57.2
Massachusetts,50.8
Michigan,46.5
Minnesota,42.4
Mississippi,65.3
Missouri,55.7
Montana,43.2
Nebraska,50.5
Nevada,52.4
New Hampshire,45.8
New Jersey,55.5
New Mexico,56
New York,47.8
North Carolina,60.9
North Dakota,42.3
Ohio,53
Oklahoma,60.7
Oregon,48.8
Pennsylvania,51.2
Rhode Island,52.8
South Carolina,64.6
South Dakota,46.8
Tennessee,59.3
Texas,66.8
Utah,50.4
Vermont,44.8
Virginia,57.4
Washington,48.1
West Virginia,53.9
Wisconsin,44.8
Wyoming,42.7
