country,independence_year
Afghanistan,1919
Albania,1912
Algeria,1962
Argentina,1816
Armenia,1991
Australia,1901
Austria,1955
Azerbaijan,1991
Bahrain,1783
Bangladesh,1971
Belarus,1991
Belgium,1830
Benin,1960
Bolivia,1825
Bosnia and Herzegovina,1992
Botswana,1966
Brazil,1822
Bulgaria,1878
Burkina Faso,1960
Burundi,1962
Cambodia,1953
Cameroon,1960
Canada,1867
Chad,1960
Chile,1810
China,1949
Colombia,1810
Comoros,1975
Congo (Brazzaville),1960
Costa Rica,1821
Croatia,1991
Cyprus,1960
Czech Republic,1993
Denmark,
Dominican Republic,1844
Ecuador,1822
Egypt,1922
El Salvador,1821
Estonia,1918
Ethiopia,
Finland,1917
France,1958
Gabon,1960
Gambia,1965
Georgia,1991
Germany,1871
Ghana,1957
Greece,1821
Guatemala,1821
Guinea,1958
Haiti,1804
Honduras,1821
Hong Kong S.A.R. of China,1997
Hungary,1000
Iceland,1918
India,1947
Indonesia,1945
Iran,1979
Iraq,1932
Ireland,1921
Israel,1948
Italy,1861
Ivory Coast,1960
Jamaica,1962
Japan,
Jordan,1946
Kazakhstan,1991
Kenya,1963
Kosovo,2008
Kuwait,1961
Kyrgyzstan,1991
Laos,1949
Latvia,1918
Lebanon,1943
Lesotho,1966
Liberia,1847
Libya,1951
Lithuania,1918
Luxembourg,1815
Madagascar,1960
Malawi,1964
Malaysia,1957
Maldives,1965
Mali,1960
Malta,1964
Mauritania,1960
Mauritius,1968
Mexico,1810
Moldova,1991
Mongolia,1206
Montenegro,2006
Morocco,1956
Mozambique,1975
Myanmar,1948
Namibia,1990
Nepal,1768
Netherlands,1581
New Zealand,1907
Nicaragua,1821
Niger,1960
Nigeria,1960
North Cyprus,1983
North Macedonia,1991
Norway,1905
Pakistan,1947
Palestinian Territories,
Panama,1903
Paraguay,1811
Peru,1821
Philippines,1946
Poland,1918
Portugal,1128
Romania,1859
Russia,1991
Rwanda,1962
Saudi Arabia,1932
Senegal,1960
Serbia,2006
Sierra Leone,1961
Singapore,1965
Slovakia,1993
Slovenia,1991
South Africa,1910
South Korea,1945
Spain,1492
Sri Lanka,1948
Swaziland,1968
Sweden,
Switzerland,1291
Taiwan Province of China,1911
Tajikistan,1991
Tanzania,1961
Thailand,1238
Togo,1960
Tunisia,1956
Turkey,1923
Turkmenistan,1991
Uganda,1962
Ukraine,1991
United Arab Emirates,1971
United Kingdom,1801
United States,1776
Uruguay,1825
Uzbekistan,1991
Venezuela,1811
Vietnam,1945
Yemen,1990
Zambia,1964
Zimbabwe,1980
